City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
530,GN,1584214855,10.63,-8.68,11,13,79.25,2.17
531,ES,1584214855,39.89,4.27,0,81,51.8,5.82
532,RU,1584214855,61.11,44.83,33,87,15.21,4.9
533,HT,1584214855,19.43,-72.2,75,65,80.6,10.29
534,BR,1584214855,-14.64,-39.55,88,79,74.93,5.14
535,JP,1584214856,41.78,140.74,0,85,17.87,2.75
536,VN,1584214755,10.35,107.08,97,78,78.57,17.38
537,CA,1584214673,47.6,-53.26,75,83,39.99,21.92
538,FR,1584214856,49.12,6.77,20,70,46.99,2.24
539,PG,1584214856,-9.44,147.18,39,78,79.79,10.56
540,YE,1584214683,12.78,45.04,2,73,76.05,7.47
541,US,1584214857,31.45,-83.51,1,42,84.2,4.94
542,GN,1584214857,10.92,-13.33,73,51,74.79,3.74
543,RU,1584214857,53.97,121.97,0,81,-13.77,2.68
544,RE,1584214727,-21.34,55.48,75,83,78.8,13.87
545,NO,1584214857,69.01,23.04,100,92,15.71,34.67
546,PT,1584214711,40.16,-8.33,0,82,55.99,6.93
547,UA,1584214858,48.68,24.41,98,84,26.19,7.05
548,PK,1584214858,25.05,61.74,100,64,73.53,6.93
549,BD,1584214858,24.08,89.62,100,71,68.99,9.62
550,RU,1584214858,66.83,70.83,100,88,3.11,17.81
551,JP,1584214858,42.92,143.2,0,75,16.61,6.06
552,KM,1584214858,-11.38,43.28,100,78,83.07,11.74
553,VE,1584214746,8.62,-70.21,63,28,98.19,10.16
554,GA,1584214859,-2.65,10.0,100,89,79.65,3.58
555,US,1584214859,43.15,-77.68,90,55,41.0,12.75
556,RU,1584214859,55.84,48.25,40,93,33.8,6.71
557,EG,1584214859,24.09,32.91,0,37,64.35,9.08
558,BR,1584214859,-6.64,-51.99,100,93,76.77,1.54
559,PT,1584214859,41.81,-8.85,48,81,57.0,9.17
560,ID,1584214860,5.89,95.32,1,73,84.51,8.25
561,RU,1584214860,61.47,64.03,65,86,30.11,10.25
562,AZ,1584214860,39.37,49.25,50,69,56.25,12.19
563,ZM,1584214860,-13.63,32.65,100,92,69.57,1.88
564,RU,1584214860,46.54,138.33,79,69,25.47,12.95
565,ID,1584214860,-8.12,111.89,86,92,73.71,1.14
566,SE,1584214860,63.83,20.26,65,63,28.99,5.82
567,US,1584214415,37.1,-113.58,75,58,61.0,13.87
568,CF,1584214861,6.54,21.99,100,25,79.25,1.79
569,ID,1584214861,-2.08,101.38,55,98,62.01,2.15
570,ID,1584214861,-6.88,112.21,89,92,75.69,2.42
571,MX,1584214426,19.93,-105.25,0,48,87.35,9.62
572,TC,1584214682,21.46,-71.14,40,61,80.6,14.99
573,US,1584214481,58.3,-134.42,20,74,34.0,2.55
574,RU,1584214862,52.27,79.17,100,88,34.25,13.58
575,LY,1584214862,29.03,21.55,94,37,63.99,0.47
